DATATYPE	 IR Spectrum
XYUNITS	 Wavenumber;Absorbance
DECIMALSYMBOL	 .
1168.5204	 0.1521
1170.3841	 0.1508
1172.2477	 0.1496
1174.1114	 0.1484
1175.9751	 0.1469
1177.8388	 0.1454
1179.7024	 0.1439
1181.5661	 0.1423
1183.4298	 0.1408
1185.2934	 0.1397
1187.1571	 0.1385
1189.0208	 0.1374
1190.8844	 0.1364
1192.7481	 0.1355
1194.6118	 0.1344
1196.4754	 0.1334
1198.3391	 0.1327
1200.2028	 0.1320
1202.0665	 0.1315
1203.9301	 0.1311
1205.7938	 0.1309
1207.6575	 0.1308
1209.5211	 0.1308
1211.3848	 0.1310
1213.2485	 0.1312
1215.1121	 0.1317
1216.9758	 0.1321
1218.8395	 0.1326
1220.7031	 0.1333
1222.5668	 0.1339
1224.4305	 0.1344
1226.2941	 0.1352
1228.1578	 0.1360
1230.0215	 0.1366
1231.8852	 0.1368
1233.7488	 0.1365
1235.6125	 0.1360
1237.4762	 0.1353
1239.3398	 0.1348
1241.2035	 0.1344
1243.0672	 0.1342
1244.9308	 0.1340
1246.7945	 0.1337
1248.6582	 0.1329
1250.5218	 0.1318
1252.3855	 0.1305
1254.2492	 0.1287
1256.1129	 0.1265
1257.9765	 0.1239
1259.8402	 0.1212
1261.7039	 0.1185
1263.5675	 0.1158
1265.4312	 0.1131
1267.2949	 0.1106
1269.1585	 0.1081
1271.0222	 0.1057
1272.8859	 0.1038
1274.7495	 0.1021
1276.6132	 0.1007
1278.4769	 0.0996
1280.3405	 0.0986
1282.2042	 0.0978
1284.0679	 0.0973
1285.9316	 0.0970
1287.7952	 0.0965
1289.6589	 0.0957
1291.5226	 0.0948
1293.3862	 0.0937
1295.2499	 0.0922
1297.1136	 0.0904
1298.9772	 0.0888
1300.8409	 0.0876
1302.7046	 0.0865
1304.5682	 0.0854
1306.4319	 0.0843
1308.2956	 0.0832
1310.1592	 0.0826
1312.0229	 0.0821
1313.8866	 0.0814
1315.7503	 0.0809
1317.6139	 0.0805
1319.4776	 0.0800
1321.3413	 0.0793
1323.2049	 0.0787
1325.0686	 0.0780
1326.9323	 0.0774
1328.7959	 0.0769
1330.6596	 0.0764
1332.5233	 0.0761
1334.3869	 0.0764
1336.2506	 0.0772
1338.1143	 0.0777
1339.9780	 0.0773
1341.8416	 0.0772
1343.7053	 0.0779
1345.5690	 0.0786
1347.4326	 0.0792
1349.2963	 0.0799
1351.1600	 0.0804
1353.0236	 0.0806
1354.8873	 0.0808
1356.7510	 0.0812
1358.6146	 0.0821
1360.4783	 0.0830
1362.3420	 0.0826
1364.2056	 0.0818
1366.0693	 0.0830
1367.9330	 0.0838
1369.7967	 0.0839
1371.6603	 0.0851
1373.5240	 0.0853
1375.3877	 0.0838
1377.2513	 0.0835
1379.1150	 0.0831
1380.9787	 0.0821
1382.8423	 0.0814
1384.7060	 0.0817
1386.5697	 0.0810
1388.4333	 0.0778
1390.2970	 0.0769
1392.1607	 0.0777
1394.0244	 0.0773
1395.8880	 0.0755
1397.7517	 0.0754
1399.6154	 0.0741
1401.4790	 0.0736
1403.3427	 0.0750
1405.2064	 0.0751
1407.0700	 0.0752
1408.9337	 0.0757
1410.7974	 0.0756
1412.6610	 0.0754
1414.5247	 0.0760
1416.3884	 0.0775
1418.2520	 0.0762
1420.1157	 0.0706
1421.9794	 0.0700
1423.8431	 0.0701
1425.7067	 0.0689
1427.5704	 0.0693
1429.4341	 0.0691
1431.2977	 0.0685
1433.1614	 0.0697
1435.0251	 0.0717
1436.8887	 0.0693
1438.7524	 0.0674
1440.6161	 0.0690
1442.4797	 0.0702
1444.3434	 0.0714
1446.2071	 0.0724
1448.0707	 0.0715
1449.9344	 0.0707
1451.7981	 0.0723
1453.6618	 0.0754
1455.5254	 0.0785
1457.3891	 0.0735
1459.2528	 0.0695
1461.1164	 0.0725
1462.9801	 0.0753
1464.8438	 0.0729
1466.7074	 0.0686
1468.5711	 0.0672
1470.4348	 0.0664
1472.2984	 0.0625
1474.1621	 0.0560
1476.0258	 0.0517
1477.8895	 0.0486
1479.7531	 0.0467
1481.6168	 0.0446
1483.4805	 0.0429
1485.3441	 0.0422
1487.2078	 0.0416
1489.0715	 0.0405
1490.9351	 0.0382
1492.7988	 0.0382
1494.6625	 0.0398
1496.5261	 0.0394
1498.3898	 0.0381
1500.2535	 0.0381
1502.1171	 0.0393
1503.9808	 0.0423
1505.8445	 0.0435
1507.7082	 0.0389
1509.5718	 0.0384
1511.4355	 0.0396
1513.2992	 0.0406
1515.1628	 0.0423
1517.0265	 0.0425
1518.8902	 0.0434
1520.7538	 0.0439
1522.6175	 0.0416
1524.4812	 0.0420
1526.3448	 0.0424
1528.2085	 0.0421
1530.0722	 0.0434
1531.9359	 0.0454
1533.7995	 0.0444
1535.6632	 0.0449
1537.5269	 0.0487
1539.3905	 0.0493
1541.2542	 0.0452
1543.1179	 0.0441
1544.9815	 0.0439
1546.8452	 0.0447
1548.7089	 0.0467
1550.5725	 0.0471
1552.4362	 0.0480
1554.2999	 0.0491
1556.1635	 0.0519
1558.0272	 0.0539
1559.8909	 0.0452
1561.7546	 0.0443
1563.6182	 0.0477
1565.4819	 0.0492
1567.3456	 0.0510
1569.2092	 0.0509
1571.0729	 0.0493
1572.9366	 0.0516
1574.8002	 0.0543
1576.6639	 0.0518
1578.5276	 0.0507
1580.3912	 0.0529
1582.2549	 0.0540
1584.1186	 0.0545
1585.9822	 0.0549
1587.8459	 0.0557
1589.7096	 0.0567
1591.5733	 0.0577
1593.4369	 0.0586
1595.3006	 0.0587
1597.1643	 0.0587
1599.0279	 0.0592
1600.8916	 0.0602
1602.7553	 0.0612
1604.6189	 0.0621
1606.4826	 0.0633
1608.3463	 0.0636
1610.2099	 0.0638
1612.0736	 0.0652
1613.9373	 0.0682
1615.8010	 0.0696
1617.6646	 0.0658
1619.5283	 0.0672
1621.3920	 0.0713
1623.2556	 0.0717
1625.1193	 0.0707
1626.9830	 0.0721
1628.8466	 0.0725
1630.7103	 0.0736
1632.5740	 0.0772
1634.4376	 0.0798
1636.3013	 0.0738
1638.1650	 0.0708
1640.0286	 0.0727
1641.8923	 0.0744
1643.7560	 0.0768
1645.6197	 0.0777
1647.4833	 0.0726
1649.3470	 0.0739
1651.2107	 0.0806
1653.0743	 0.0767
1654.9380	 0.0678
1656.8017	 0.0719
1658.6653	 0.0757
1660.5290	 0.0787
1662.3927	 0.0790
1664.2563	 0.0785
1666.1200	 0.0821
1667.9837	 0.0857
1669.8474	 0.0846
1671.7110	 0.0858
1673.5747	 0.0904
1675.4384	 0.0908
1677.3020	 0.0922
1679.1657	 0.0989
1681.0294	 0.1060
1682.8930	 0.1118
1684.7567	 0.1047
1686.6204	 0.1040
1688.4840	 0.1103
1690.3477	 0.1138
1692.2114	 0.1191
1694.0750	 0.1259
1695.9387	 0.1256
1697.8024	 0.1273
1699.6661	 0.1289
1701.5297	 0.1217
1703.3934	 0.1271
1705.2571	 0.1303
1707.1207	 0.1282
1708.9844	 0.1287
1710.8481	 0.1301
1712.7117	 0.1317
1714.5754	 0.1323
1716.4391	 0.1287
1718.3027	 0.1182
1720.1664	 0.1134
1722.0301	 0.1148
1723.8937	 0.1139
1725.7574	 0.1122
1727.6211	 0.1115
1729.4848	 0.1111
1731.3484	 0.1115
1733.2121	 0.1087
1735.0758	 0.0970
1736.9394	 0.0936
1738.8031	 0.0916
1740.6668	 0.0841
1742.5304	 0.0770
1744.3941	 0.0710
1746.2578	 0.0657
1748.1214	 0.0609
1749.9851	 0.0552
1751.8488	 0.0490
1753.7125	 0.0449
1755.5761	 0.0428
1757.4398	 0.0403
1759.3035	 0.0389
1761.1671	 0.0371
1763.0308	 0.0348
1764.8945	 0.0339
1766.7581	 0.0338
1768.6218	 0.0330
1770.4855	 0.0327
1772.3491	 0.0317
1774.2128	 0.0301
1776.0765	 0.0291
1777.9401	 0.0289
1779.8038	 0.0284
1781.6675	 0.0275
1783.5312	 0.0265
1785.3948	 0.0254
1787.2585	 0.0243
1789.1222	 0.0241
1790.9858	 0.0239
1792.8495	 0.0227
1794.7132	 0.0212
1796.5768	 0.0207
1798.4405	 0.0205
1800.3042	 0.0200
1802.1678	 0.0191
1804.0315	 0.0184
1805.8952	 0.0181
1807.7589	 0.0181
1809.6225	 0.0177
1811.4862	 0.0175
1813.3499	 0.0170
1815.2135	 0.0167
1817.0772	 0.0167
1818.9409	 0.0165
1820.8045	 0.0165
1822.6682	 0.0170
1824.5319	 0.0170
1826.3955	 0.0172
1828.2592	 0.0176
1830.1229	 0.0171
1831.9865	 0.0165
1833.8502	 0.0165
1835.7139	 0.0166
1837.5776	 0.0168
1839.4412	 0.0168
1841.3049	 0.0174
1843.1686	 0.0179
1845.0322	 0.0174
1846.8959	 0.0167
1848.7596	 0.0168
1850.6232	 0.0169
1852.4869	 0.0172
1854.3506	 0.0176
1856.2142	 0.0175
1858.0779	 0.0173
1859.9416	 0.0174
1861.8052	 0.0176
1863.6689	 0.0180
1865.5326	 0.0183
1867.3963	 0.0186
1869.2599	 0.0180
1871.1236	 0.0176
1872.9873	 0.0173
1874.8509	 0.0174
1876.7146	 0.0176
1878.5783	 0.0178
1880.4419	 0.0178
1882.3056	 0.0183
1884.1693	 0.0189
1886.0329	 0.0187
1887.8966	 0.0187
1889.7603	 0.0184
1891.6240	 0.0180
1893.4876	 0.0184
1895.3513	 0.0187
1897.2150	 0.0187
1899.0786	 0.0188
1900.9423	 0.0189
1902.8060	 0.0187
1904.6696	 0.0189
1906.5333	 0.0192
1908.3970	 0.0195
1910.2606	 0.0190
1912.1243	 0.0192
1913.9880	 0.0194
1915.8516	 0.0195
1917.7153	 0.0197
1919.5790	 0.0194
1921.4427	 0.0192
1923.3063	 0.0191
1925.1700	 0.0191
1927.0337	 0.0190
1928.8973	 0.0189
1930.7610	 0.0194
1932.6247	 0.0197
1934.4883	 0.0199
1936.3520	 0.0199
1938.2157	 0.0202
1940.0793	 0.0201
1941.9430	 0.0196
1943.8067	 0.0197
1945.6704	 0.0203
1947.5340	 0.0198
1949.3977	 0.0195
1951.2614	 0.0198
1953.1250	 0.0197
1954.9887	 0.0193
1956.8524	 0.0193
1958.7160	 0.0193
1960.5797	 0.0193
1962.4434	 0.0194
1964.3070	 0.0200
1966.1707	 0.0203
1968.0344	 0.0197
1969.8980	 0.0193
1971.7617	 0.0194
1973.6254	 0.0197
1975.4891	 0.0199
1977.3527	 0.0202
1979.2164	 0.0196
1981.0801	 0.0186
1982.9437	 0.0186
1984.8074	 0.0188
1986.6711	 0.0193
1988.5347	 0.0201
1990.3984	 0.0201
1992.2621	 0.0195
1994.1257	 0.0195
1995.9894	 0.0200
1997.8531	 0.0195
1999.7167	 0.0185
2001.5804	 0.0189
2003.4441	 0.0202
2005.3078	 0.0202
2007.1714	 0.0196
2009.0351	 0.0193
2010.8988	 0.0189
2012.7624	 0.0189
2014.6261	 0.0192
2016.4898	 0.0205
2018.3534	 0.0205
2020.2171	 0.0197
2022.0808	 0.0200
2023.9444	 0.0207
2025.8081	 0.0199
2027.6718	 0.0197
2029.5355	 0.0202
2031.3991	 0.0208
2033.2628	 0.0203
2035.1265	 0.0191
2036.9901	 0.0187
2038.8538	 0.0194
2040.7175	 0.0191
2042.5811	 0.0187
2044.4448	 0.0193
2046.3085	 0.0192
2048.1721	 0.0193
2050.0358	 0.0196
2051.8995	 0.0199
2053.7631	 0.0199
2055.6268	 0.0195
2057.4905	 0.0197
2059.3542	 0.0195
2061.2178	 0.0199
2063.0815	 0.0198
2064.9452	 0.0196
2066.8088	 0.0196
2068.6725	 0.0193
2070.5362	 0.0193
2072.3998	 0.0200
2074.2635	 0.0197
2076.1272	 0.0194
2077.9908	 0.0199
2079.8545	 0.0198
2081.7182	 0.0194
2083.5819	 0.0195
2085.4455	 0.0196
2087.3092	 0.0196
2089.1729	 0.0198
2091.0365	 0.0197
2092.9002	 0.0198
2094.7639	 0.0199
2096.6275	 0.0198
2098.4912	 0.0198
2100.3549	 0.0193
2102.2185	 0.0189
2104.0822	 0.0192
2105.9459	 0.0195
2107.8095	 0.0194
2109.6732	 0.0190
2111.5369	 0.0192
2113.4006	 0.0202
2115.2642	 0.0202
2117.1279	 0.0193
2118.9916	 0.0192
2120.8552	 0.0194
2122.7189	 0.0191
2124.5826	 0.0192
2126.4462	 0.0195
2128.3099	 0.0196
2130.1736	 0.0196
2132.0372	 0.0199
2133.9009	 0.0197
2135.7646	 0.0192
2137.6282	 0.0196
2139.4919	 0.0200
2141.3556	 0.0197
2143.2193	 0.0195
2145.0829	 0.0192
2146.9466	 0.0194
2148.8103	 0.0195
2150.6739	 0.0189
2152.5376	 0.0189
2154.4013	 0.0191
2156.2649	 0.0188
2158.1286	 0.0187
2159.9923	 0.0195
2161.8559	 0.0198
2163.7196	 0.0187
2165.5833	 0.0189
2167.4470	 0.0194
2169.3106	 0.0200
2171.1743	 0.0196
2173.0380	 0.0187
2174.9016	 0.0191
2176.7653	 0.0194
2178.6290	 0.0192
2180.4926	 0.0196
2182.3563	 0.0188
2184.2200	 0.0180
2186.0836	 0.0191
2187.9473	 0.0197
2189.8110	 0.0197
2191.6746	 0.0201
2193.5383	 0.0201
2195.4020	 0.0194
2197.2657	 0.0198
2199.1293	 0.0202
2200.9930	 0.0192
2202.8567	 0.0194
2204.7203	 0.0199
2206.5840	 0.0202
2208.4477	 0.0201
2210.3113	 0.0199
2212.1750	 0.0196
2214.0387	 0.0195
2215.9023	 0.0200
2217.7660	 0.0198
2219.6297	 0.0193
2221.4934	 0.0197
2223.3570	 0.0206
2225.2207	 0.0205
2227.0844	 0.0197
2228.9480	 0.0195
2230.8117	 0.0197
2232.6754	 0.0203
2234.5390	 0.0201
2236.4027	 0.0198
2238.2664	 0.0195
2240.1300	 0.0192
2241.9937	 0.0200
2243.8574	 0.0207
2245.7210	 0.0205
2247.5847	 0.0201
2249.4484	 0.0200
2251.3121	 0.0207
2253.1757	 0.0203
2255.0394	 0.0199
2256.9031	 0.0202
2258.7667	 0.0205
2260.6304	 0.0206
2262.4941	 0.0203
2264.3577	 0.0200
2266.2214	 0.0199
2268.0851	 0.0202
2269.9487	 0.0202
2271.8124	 0.0198
2273.6761	 0.0199
2275.5397	 0.0204
2277.4034	 0.0204
2279.2671	 0.0201
2281.1308	 0.0205
2282.9944	 0.0209
2284.8581	 0.0207
2286.7218	 0.0205
2288.5854	 0.0206
2290.4491	 0.0206
2292.3128	 0.0205
2294.1764	 0.0207
2296.0401	 0.0211
2297.9038	 0.0212
2299.7674	 0.0211
2301.6311	 0.0209
2303.4948	 0.0210
2305.3585	 0.0210
2307.2221	 0.0210
2309.0858	 0.0212
2310.9495	 0.0212
2312.8131	 0.0210
2314.6768	 0.0212
2316.5405	 0.0215
2318.4041	 0.0215
2320.2678	 0.0216
2322.1315	 0.0217
2323.9951	 0.0217
2325.8588	 0.0216
2327.7225	 0.0216
2329.5861	 0.0220
2331.4498	 0.0220
2333.3135	 0.0215
2335.1772	 0.0213
2337.0408	 0.0215
2338.9045	 0.0217
2340.7682	 0.0215
2342.6318	 0.0211
2344.4955	 0.0209
2346.3592	 0.0209
2348.2228	 0.0211
2350.0865	 0.0221
2351.9502	 0.0232
2353.8138	 0.0230
2355.6775	 0.0225
2357.5412	 0.0227
2359.4049	 0.0228
2361.2685	 0.0225
2363.1322	 0.0224
2364.9959	 0.0220
2366.8595	 0.0219
2368.7232	 0.0217
2370.5869	 0.0217
2372.4505	 0.0218
2374.3142	 0.0220
2376.1779	 0.0221
2378.0415	 0.0220
2379.9052	 0.0217
2381.7689	 0.0221
2383.6325	 0.0225
2385.4962	 0.0226
2387.3599	 0.0229
2389.2236	 0.0231
2391.0872	 0.0231
2392.9509	 0.0230
2394.8146	 0.0230
2396.6782	 0.0230
2398.5419	 0.0226
2400.4056	 0.0228
2402.2692	 0.0232
2404.1329	 0.0230
2405.9966	 0.0230
2407.8602	 0.0233
2409.7239	 0.0230
2411.5876	 0.0231
2413.4512	 0.0234
2415.3149	 0.0235
2417.1786	 0.0233
2419.0423	 0.0232
2420.9059	 0.0236
2422.7696	 0.0237
2424.6333	 0.0237
2426.4969	 0.0239
2428.3606	 0.0240
2430.2243	 0.0240
2432.0879	 0.0238
2433.9516	 0.0240
2435.8153	 0.0243
2437.6789	 0.0240
2439.5426	 0.0240
2441.4063	 0.0246
2443.2700	 0.0247
2445.1336	 0.0243
2446.9973	 0.0243
2448.8610	 0.0244
2450.7246	 0.0244
2452.5883	 0.0245
2454.4520	 0.0244
2456.3156	 0.0244
2458.1793	 0.0250
2460.0430	 0.0254
2461.9066	 0.0255
2463.7703	 0.0255
2465.6340	 0.0254
2467.4976	 0.0254
2469.3613	 0.0252
2471.2250	 0.0250
2473.0887	 0.0255
2474.9523	 0.0253
2476.8160	 0.0255
2478.6797	 0.0261
2480.5433	 0.0261
2482.4070	 0.0260
2484.2707	 0.0259
2486.1343	 0.0258
2487.9980	 0.0260
2489.8617	 0.0259
2491.7253	 0.0258
2493.5890	 0.0261
2495.4527	 0.0261
2497.3164	 0.0257
2499.1800	 0.0259
2501.0437	 0.0263
2502.9074	 0.0261
2504.7710	 0.0260
2506.6347	 0.0261
2508.4984	 0.0262
2510.3620	 0.0261
2512.2257	 0.0261
2514.0894	 0.0263
2515.9530	 0.0265
2517.8167	 0.0268
2519.6804	 0.0268
2521.5440	 0.0269
2523.4077	 0.0272
2525.2714	 0.0271
2527.1351	 0.0266
2528.9987	 0.0263
2530.8624	 0.0265
2532.7261	 0.0269
2534.5897	 0.0272
2536.4534	 0.0271
2538.3171	 0.0270
2540.1807	 0.0272
2542.0444	 0.0275
2543.9081	 0.0274
2545.7717	 0.0275
2547.6354	 0.0280
2549.4991	 0.0277
2551.3627	 0.0273
2553.2264	 0.0276
2555.0901	 0.0276
2556.9538	 0.0276
2558.8174	 0.0275
2560.6811	 0.0276
2562.5448	 0.0282
2564.4084	 0.0286
2566.2721	 0.0285
2568.1358	 0.0281
2569.9994	 0.0280
2571.8631	 0.0279
2573.7268	 0.0279
2575.5904	 0.0281
2577.4541	 0.0282
2579.3178	 0.0281
2581.1815	 0.0282
2583.0451	 0.0284
2584.9088	 0.0284
2586.7725	 0.0284
2588.6361	 0.0283
2590.4998	 0.0282
2592.3635	 0.0283
2594.2271	 0.0280
2596.0908	 0.0279
2597.9545	 0.0284
2599.8181	 0.0287
2601.6818	 0.0288
2603.5455	 0.0289
2605.4091	 0.0288
2607.2728	 0.0286
2609.1365	 0.0285
2611.0002	 0.0283
2612.8638	 0.0282
2614.7275	 0.0286
2616.5912	 0.0288
2618.4548	 0.0285
2620.3185	 0.0284
2622.1822	 0.0285
2624.0458	 0.0286
2625.9095	 0.0287
2627.7732	 0.0287
2629.6368	 0.0288
2631.5005	 0.0289
2633.3642	 0.0288
2635.2279	 0.0288
2637.0915	 0.0289
2638.9552	 0.0288
2640.8189	 0.0288
2642.6825	 0.0287
2644.5462	 0.0285
2646.4099	 0.0285
2648.2735	 0.0288
2650.1372	 0.0288
2652.0009	 0.0288
2653.8645	 0.0288
2655.7282	 0.0288
2657.5919	 0.0286
2659.4555	 0.0287
2661.3192	 0.0289
2663.1829	 0.0290
2665.0466	 0.0293
2666.9102	 0.0293
2668.7739	 0.0291
2670.6376	 0.0289
2672.5012	 0.0290
2674.3649	 0.0290
2676.2286	 0.0290
2678.0922	 0.0292
2679.9559	 0.0292
2681.8196	 0.0291
2683.6832	 0.0291
2685.5469	 0.0292
2687.4106	 0.0293
2689.2742	 0.0294
2691.1379	 0.0294
2693.0016	 0.0294
2694.8653	 0.0294
2696.7289	 0.0293
2698.5926	 0.0295
2700.4563	 0.0299
2702.3199	 0.0297
2704.1836	 0.0295
2706.0473	 0.0297
2707.9109	 0.0299
2709.7746	 0.0298
2711.6383	 0.0298
2713.5019	 0.0299
2715.3656	 0.0299
2717.2293	 0.0299
2719.0930	 0.0301
2720.9566	 0.0305
2722.8203	 0.0307
2724.6840	 0.0308
2726.5476	 0.0308
2728.4113	 0.0310
2730.2750	 0.0310
2732.1386	 0.0311
2734.0023	 0.0315
2735.8660	 0.0316
2737.7296	 0.0314
2739.5933	 0.0314
2741.4570	 0.0316
2743.3206	 0.0319
2745.1843	 0.0321
2747.0480	 0.0321
2748.9117	 0.0320
2750.7753	 0.0319
2752.6390	 0.0321
2754.5027	 0.0324
2756.3663	 0.0325
2758.2300	 0.0327
2760.0937	 0.0330
2761.9573	 0.0330
2763.8210	 0.0329
2765.6847	 0.0330
2767.5483	 0.0334
2769.4120	 0.0338
2771.2757	 0.0336
2773.1394	 0.0336
2775.0030	 0.0338
2776.8667	 0.0341
2778.7304	 0.0346
2780.5940	 0.0348
2782.4577	 0.0347
2784.3214	 0.0350
2786.1850	 0.0353
2788.0487	 0.0355
2789.9124	 0.0357
2791.7760	 0.0358
2793.6397	 0.0363
2795.5034	 0.0368
2797.3670	 0.0370
2799.2307	 0.0376
2801.0944	 0.0379
2802.9581	 0.0378
2804.8217	 0.0382
2806.6854	 0.0389
2808.5491	 0.0392
2810.4127	 0.0395
2812.2764	 0.0399
2814.1401	 0.0406
2816.0037	 0.0414
2817.8674	 0.0416
